SiteID,Monitoring,LAT_approx,LONG_approx
P1/P4,Paired,44.49525,-87.594556
P2,Surface,44.487833,-87.607333
P3/P5,Paired,44.504083,-87.607083
R1,Surface,42.65328,-90.28567
R2,Surface,42.65243,-90.28918
R3,Surface,42.64615,-90.28792
H3,Surface,42.888111,-90.127889
KP1,Tile,43.187556,-88.46925
KP2,Tile,43.187639,-88.469694
KP3,Surface,43.186417,-88.469833
K1,Stream,43.906583,-87.780889
K2,Stream,43.912639,-87.770694
K3,Surface,43.906611,-87.781056
K4,Tile,43.912639,-87.770861
K5/K6,Paired,43.910667,-87.777583
K7,Surface,43.912306,-87.773556
K8,Surface,43.903361,-87.787611
JF1,Surface,43.702556,-90.819361
JF2,Surface,43.71225,-90.785444
JF3,Surface,43.712722,-90.782667
JF4,Surface,43.719583,-90.770306
JF5,Surface,43.714056,-90.770222
JF6,Surface,43.740389,-90.771833
WF-1,Surface,45.082833,-92.382833
WF-2,Surface,45.020833,-92.300306
WF-3,Surface,45.076861,-92.305389
RE1,Surface,42.669,-89.083722
RE5,Surface,42.664917,-89.120611
AR1,Surface,42.627694,-88.990944
AR2,Surface,42.612806,-88.9985
DK1A,Tile,44.677111,-87.398972
MA1A,Tile,43.997167,-87.957528
SH1A,Tile,44.837139,-88.310111
RS1,Surface,43.660861,-90.084639
RS2,Surface,43.639167,-90.110694
KD1,Surface,44.40127778,-87.6955556
KD2,Surface,44.36527778,-87.54988889
AO1,Surface,45.17238889,-89.1136111
AO2,Surface,45.2019444,-89.0718056
AO3,Surface,45.227,-89.065
MT1,Surface,45.0324444,-90.102
MT2,Surface,44.92705556,-90.0401389
MT3,Surface,44.93250556,-90.15158889
